actor_id,bacon_number,intermediary
1638,6,2986
1639,3,4858
1640,4,3825
1641,6,3937
1642,4,726
1643,4,3798
1644,4,3200
1645,3,2179
1646,3,4296
1647,3,3255
1648,5,1512
1649,3,3177
1650,4,4507
1651,3,2154
1652,3,3786
1653,,
1654,6,593
1655,,
1656,4,3775
1657,4,3623
1658,2,1946
1659,4,431
1660,5,2415
1661,3,2816
1662,3,1838
1663,2,3613
1664,5,3184
1665,5,831
1666,4,4907
1667,4,2987
1668,3,1088
1669,4,3060
1670,,
1671,3,3293
1672,4,1576
1673,,
1674,3,4296
1675,4,4207
1676,3,4748
1677,3,805
1678,4,2979
1679,,
1680,3,3762
1681,2,2724
1682,4,2438
1683,,
1684,,
1685,7,610
1686,2,722
1687,2,1946
1688,,
1689,3,386
1690,3,3293
1691,3,1113
1692,4,2373
1693,3,4035
1694,3,3950
1695,3,2287
1696,,
1697,4,3306
1698,3,3527
1699,2,1518
1700,,
1701,3,4807
1702,4,4052
1703,3,3065
1704,,
1705,3,384
1706,4,2669
1707,5,994
1708,4,3857
1709,3,232
1710,3,1994
1711,5,4135
1712,4,4097
1713,,
1714,4,1350
1715,2,509
1716,,
1717,3,2449
1718,,
1719,3,291
1720,4,292
1721,,
1722,3,2136
1723,3,2397
1724,,
1725,3,3340
1726,3,573
1727,3,2796
1728,,
1729,5,3640
1730,2,2388
1731,,
1732,4,1636
1733,3,4093
1734,3,1885
1735,4,1417
1736,5,4621
1737,4,729
1738,,
1739,3,3717
1740,4,3936
1741,5,4197
1742,4,1636
1743,5,4621
1744,5,994
1745,,
1746,3,2039
1747,4,1813
1748,2,83
1749,3,460
1750,4,1336
1751,,
1752,,
1753,2,83
1754,4,2125
1755,3,4811
1756,3,609
1757,5,4402
1758,2,1138
1759,,
1760,2,1518
1761,4,399
1762,3,4811
1763,4,651
1764,4,3373
1765,3,3854
1766,4,2839
1767,,
1768,2,4666
1769,4,865
1770,4,1693
1771,4,2855
1772,3,4093
1773,2,4029
1774,4,3291
1775,6,2273
1776,3,3065
1777,4,726
1778,5,4074
1779,3,1317
